Student ID,Score,Max Score,Percentage,Flagged
student_001,10,10,100.0%,1
student_002,9,10,90.0%,2
student_003,9,10,90.0%,2
student_004,9,10,90.0%,2
student_005,8,10,80.0%,2
student_006,8,10,80.0%,2
student_007,9,10,90.0%,1
student_008,7,10,70.0%,3
student_009,9,10,90.0%,1
student_010,9,10,90.0%,1
student_011,8,10,80.0%,2
student_012,9,10,90.0%,1
student_013,9,10,90.0%,1
student_014,9,10,90.0%,1
student_015,9,10,90.0%,1
student_016,4,10,40.0%,1
student_017,9,10,90.0%,1
student_018,9,10,90.0%,1
student_019,9,10,90.0%,1
student_020,8,10,80.0%,2
student_021,8,10,80.0%,2
student_022,9,10,90.0%,1
student_023,9,10,90.0%,1
student_024,8,10,80.0%,2
student_025,8,10,80.0%,2
student_026,9,10,90.0%,1
student_027,9,10,90.0%,1
student_028,9,10,90.0%,1
student_029,8,10,80.0%,1
student_030,8,10,80.0%,1
student_031,8,10,80.0%,2
student_032,7,10,70.0%,3
student_033,9,10,90.0%,1
student_034,9,10,90.0%,1
student_035,9,10,90.0%,1
student_036,9,10,90.0%,1
student_037,9,10,90.0%,1
student_038,8,10,80.0%,1
student_039,8,10,80.0%,2
student_040,8,10,80.0%,2
student_041,8,10,80.0%,2
student_042,9,10,90.0%,1
student_043,7,10,70.0%,3
student_044,6,10,60.0%,4
student_045,9,10,90.0%,1
