Student ID,Score,Max Score,Percentage,Flagged
student_001,10,10,100.0%,1
student_002,10,10,100.0%,1
student_003,8,10,80.0%,2
student_004,10,10,100.0%,2
student_005,3,10,30.0%,3
student_006,8,10,80.0%,2
student_007,8,10,80.0%,1
student_008,9,10,90.0%,1
student_009,7,10,70.0%,2
student_010,7,10,70.0%,3
student_011,9,10,90.0%,1
student_012,8,10,80.0%,2
student_013,9,10,90.0%,1
student_014,7,10,70.0%,3
student_015,9,10,90.0%,1
student_016,8,10,80.0%,1
student_017,8,10,80.0%,2
student_018,6,10,60.0%,1
student_019,7,10,70.0%,3
student_020,9,10,90.0%,1
student_021,9,10,90.0%,1
student_022,9,10,90.0%,1
student_023,1,10,10.0%,5
student_024,6,10,60.0%,2
student_025,9,10,90.0%,1
student_026,8,10,80.0%,2
student_027,8,10,80.0%,2
student_028,6,10,60.0%,3
student_029,6,10,60.0%,2
student_030,9,10,90.0%,1
student_031,8,10,80.0%,2
student_032,6,10,60.0%,3
student_033,7,10,70.0%,2
student_034,9,10,90.0%,1
student_035,9,10,90.0%,1
student_036,8,10,80.0%,2
student_037,9,10,90.0%,1
student_038,7,10,70.0%,3
student_039,8,10,80.0%,1
student_040,5,10,50.0%,4
student_041,9,10,90.0%,1
student_042,9,10,90.0%,1
student_043,6,10,60.0%,3
student_044,8,10,80.0%,2
